model_number,marginal_log_mean,conditional_log_mean,marginal_mean_ll,conditional_mean_ll,marginal_var_ll,conditional_var_ll
0.0000000000e+00,-2.2341728021e+01,-2.1581562612e+01,-2.2856436520e+01,-2.2276713511e+01,1.6475524781e+00,2.0605137822e+00
0.0000000000e+00,-2.5468319379e+01,-2.4343578017e+01,-2.6052241861e+01,-2.5252156301e+01,1.7780728846e+00,2.6346702494e+00
0.0000000000e+00,-2.6155553637e+01,-2.4413168257e+01,-2.6398466836e+01,-2.5079092471e+01,6.0941140502e-01,1.9087265003e+00
0.0000000000e+00,-3.1053701872e+01,-2.9644547090e+01,-3.1355676771e+01,-3.0248726415e+01,8.3759684930e-01,1.7303813226e+00
0.0000000000e+00,-2.3395603246e+01,-2.2286288291e+01,-2.3509291841e+01,-2.2697390238e+01,2.6056754917e-01,1.0708659781e+00
0.0000000000e+00,-2.3754328013e+01,-2.2626335942e+01,-2.4473533778e+01,-2.3621930390e+01,2.2059582437e+00,2.9084382425e+00
0.0000000000e+00,-2.3603815311e+01,-2.2626734372e+01,-2.3666562192e+01,-2.3001437358e+01,1.3647366967e-01,9.3151539260e-01
0.0000000000e+00,-2.3858153916e+01,-2.2704140333e+01,-2.4571791546e+01,-2.3699328340e+01,2.2962819500e+00,2.9878744998e+00
0.0000000000e+00,-2.2115372381e+01,-2.1126757975e+01,-2.2178688566e+01,-2.1488923024e+01,1.3525501803e-01,9.2943754610e-01
0.0000000000e+00,-2.3836881521e+01,-2.2874605809e+01,-2.3996124896e+01,-2.3374240162e+01,3.9730994462e-01,1.2204210467e+00
0.0000000000e+00,-2.3203066786e+01,-2.2777099298e+01,-2.3236718761e+01,-2.2948847787e+01,6.8748895292e-02,4.3915850970e-01
0.0000000000e+00,-2.7316555558e+01,-2.5637758570e+01,-2.7788847438e+01,-2.6613363029e+01,1.4114071080e+00,2.6308699672e+00
0.0000000000e+00,-2.3632884552e+01,-2.2123946483e+01,-2.4029070709e+01,-2.2946489905e+01,1.2266174888e+00,2.3394412229e+00
0.0000000000e+00,-2.6742664271e+01,-2.5651697196e+01,-2.6825586741e+01,-2.6028944971e+01,1.7995329510e-01,1.0172285232e+00
0.0000000000e+00,-3.0167467074e+01,-2.9170667228e+01,-3.0687703794e+01,-2.9998529834e+01,1.2896052229e+00,2.0592099941e+00
0.0000000000e+00,-2.4099059130e+01,-2.2885928992e+01,-2.4719416041e+01,-2.3776310345e+01,1.8176438925e+00,2.6301001650e+00
0.0000000000e+00,-2.3674798123e+01,-2.2492437398e+01,-2.4240690248e+01,-2.3345515734e+01,1.7646908654e+00,2.4989710289e+00
0.0000000000e+00,-2.7130671940e+01,-2.5481933831e+01,-2.7793869354e+01,-2.6379983514e+01,1.9902842181e+00,2.6990896290e+00
0.0000000000e+00,-2.8058913941e+01,-2.4775247934e+01,-2.8795127016e+01,-2.7048343555e+01,1.7777701195e+00,4.9288850727e+00
0.0000000000e+00,-2.3528230130e+01,-2.2103410387e+01,-2.3646399780e+01,-2.2558437568e+01,2.4949953047e-01,1.2807062684e+00
0.0000000000e+00,-2.8601906773e+01,-2.6378839520e+01,-2.9070379436e+01,-2.7491075635e+01,1.4351632320e+00,3.1668469210e+00
0.0000000000e+00,-2.5653310538e+01,-2.3441618562e+01,-2.6090574992e+01,-2.4430932361e+01,9.6616958207e-01,2.6399675839e+00
0.0000000000e+00,-2.4599772238e+01,-2.3725960890e+01,-2.5091317454e+01,-2.4375861472e+01,1.5515903752e+00,1.9729293637e+00
0.0000000000e+00,-2.5007478189e+01,-2.2708378474e+01,-2.5390089584e+01,-2.3658263058e+01,1.0399402329e+00,2.7195090894e+00
0.0000000000e+00,-2.6774965626e+01,-2.4985030588e+01,-2.7510652278e+01,-2.6203747245e+01,2.3572531922e+00,3.5766488168e+00
0.0000000000e+00,-2.5047196996e+01,-2.3941667419e+01,-2.5260668895e+01,-2.4466240367e+01,6.3714649204e-01,1.4173214268e+00
0.0000000000e+00,-2.6111526353e+01,-2.4286059587e+01,-2.6400056109e+01,-2.5080576541e+01,7.9555837892e-01,2.1621423308e+00
0.0000000000e+00,-2.9165941742e+01,-2.6961462420e+01,-2.9698161695e+01,-2.8147861311e+01,1.3207408239e+00,3.0166674882e+00
0.0000000000e+00,-2.3438120483e+01,-2.2253199588e+01,-2.3986824961e+01,-2.3050827281e+01,1.7370632526e+00,2.3711558192e+00
0.0000000000e+00,-2.7072902309e+01,-2.4302888358e+01,-2.7563713167e+01,-2.5627328938e+01,1.1856022685e+00,3.5788114958e+00
0.0000000000e+00,-2.8322145270e+01,-2.6615387396e+01,-2.8743569406e+01,-2.7523817361e+01,1.2544233045e+00,2.4343617442e+00
0.0000000000e+00,-2.2911072403e+01,-2.1741996292e+01,-2.3023556968e+01,-2.2171582156e+01,2.4211512553e-01,1.1101096418e+00
0.0000000000e+00,-2.4481802116e+01,-2.3460361633e+01,-2.4804411739e+01,-2.4061114296e+01,9.7964188351e-01,1.6756980972e+00
0.0000000000e+00,-2.3334014693e+01,-2.2684508514e+01,-2.3775582388e+01,-2.3253752492e+01,1.3191751310e+00,1.7022759757e+00
0.0000000000e+00,-2.7536494514e+01,-2.3781073288e+01,-2.8401979185e+01,-2.5607917618e+01,2.3154987782e+00,5.6106465118e+00
0.0000000000e+00,-2.7583658573e+01,-2.4875566880e+01,-2.7764169036e+01,-2.5686924801e+01,3.8384562503e-01,2.3112827141e+00
0.0000000000e+00,-2.8864651384e+01,-2.7188475028e+01,-2.8944908106e+01,-2.7781986399e+01,1.6734628262e-01,1.5458111030e+00
0.0000000000e+00,-2.4223456292e+01,-2.3760688467e+01,-2.4243049677e+01,-2.3915012615e+01,4.0466420518e-02,3.9955788224e-01
0.0000000000e+00,-2.7396259940e+01,-2.5242507993e+01,-2.7670607625e+01,-2.6187631850e+01,7.7131589171e-01,2.5055471111e+00
0.0000000000e+00,-2.5746601219e+01,-2.4173649937e+01,-2.6405040093e+01,-2.5196401472e+01,2.0757622727e+00,2.9955714351e+00
0.0000000000e+00,-2.6335674933e+01,-2.4807583567e+01,-2.6747280013e+01,-2.5588290782e+01,1.2505324754e+00,2.2649288455e+00
0.0000000000e+00,-2.5174879653e+01,-2.4085920610e+01,-2.5681372768e+01,-2.4846741586e+01,1.6283661969e+00,2.2529584251e+00
0.0000000000e+00,-2.7479838992e+01,-2.5819603088e+01,-2.7702154037e+01,-2.6507728563e+01,6.3006706897e-01,1.9261287216e+00
