model_number,marginal_log_mean,conditional_log_mean,marginal_mean_ll,conditional_mean_ll,marginal_var_ll,conditional_var_ll
0.0000000000e+00,-2.4252690561e+01,-2.3783841165e+01,-2.4271651085e+01,-2.3945753187e+01,3.9285001576e-02,4.3250963398e-01
0.0000000000e+00,-2.7209573053e+01,-2.5158816618e+01,-2.7471959016e+01,-2.6070857562e+01,6.8692491790e-01,2.4001980640e+00
0.0000000000e+00,-2.5926916339e+01,-2.4387937807e+01,-2.6622121154e+01,-2.5443228365e+01,2.2087041705e+00,3.1113666518e+00
0.0000000000e+00,-2.6253881846e+01,-2.4699966208e+01,-2.6626747252e+01,-2.5469660964e+01,1.1169075095e+00,2.1827670658e+00
0.0000000000e+00,-2.5236146218e+01,-2.4113410298e+01,-2.5750241696e+01,-2.4882569393e+01,1.6639258428e+00,2.3254923745e+00
0.0000000000e+00,-2.7356774612e+01,-2.5687327304e+01,-2.7596919752e+01,-2.6398007859e+01,6.9435395349e-01,1.9883491377e+00
0.0000000000e+00,-2.7840192488e+01,-2.6497149779e+01,-2.8207045718e+01,-2.7126160593e+01,1.1007933481e+00,1.8492234425e+00
0.0000000000e+00,-2.7499985557e+01,-2.5878737218e+01,-2.7662323980e+01,-2.6383017947e+01,3.5466141864e-01,1.4355359622e+00
0.0000000000e+00,-2.4682689802e+01,-2.3389952092e+01,-2.5378703111e+01,-2.4416845675e+01,2.2160365318e+00,3.0283802972e+00
0.0000000000e+00,-3.1348319346e+01,-2.8431708560e+01,-3.2007555206e+01,-2.9961297495e+01,1.8362396601e+00,4.3260626995e+00
0.0000000000e+00,-2.7722769318e+01,-2.6315974028e+01,-2.7821551797e+01,-2.6783313771e+01,2.0556597531e-01,1.3296460145e+00
0.0000000000e+00,-2.6717700340e+01,-2.5451731825e+01,-2.6846677165e+01,-2.5887665821e+01,2.9528967457e-01,1.2199538558e+00
0.0000000000e+00,-2.3617278474e+01,-2.3003692386e+01,-2.3948644117e+01,-2.3495690867e+01,1.0296905124e+00,1.4394062899e+00
0.0000000000e+00,-2.5050162023e+01,-2.3174859695e+01,-2.5664072459e+01,-2.4177403889e+01,1.8319121559e+00,2.9754092674e+00
0.0000000000e+00,-2.4402097730e+01,-2.3024349677e+01,-2.4839874528e+01,-2.3759980864e+01,1.3149548160e+00,2.2288254303e+00
0.0000000000e+00,-2.4586027516e+01,-2.3819761294e+01,-2.4898047188e+01,-2.4330953907e+01,9.3856740456e-01,1.4228997238e+00
0.0000000000e+00,-2.4595431285e+01,-2.3612130886e+01,-2.4948872147e+01,-2.4148881264e+01,1.0677716966e+00,1.6665663540e+00
0.0000000000e+00,-2.2059941407e+01,-2.1561940821e+01,-2.2089517540e+01,-2.1744801840e+01,6.0460552172e-02,4.7603433715e-01
0.0000000000e+00,-2.8837096216e+01,-2.5618604456e+01,-2.9730435479e+01,-2.7056626178e+01,2.5218633625e+00,4.2972519908e+00
0.0000000000e+00,-2.6815721574e+01,-2.5042471769e+01,-2.6910978388e+01,-2.5556039049e+01,2.0736418340e-01,1.4626000755e+00
0.0000000000e+00,-2.5692446400e+01,-2.5107933852e+01,-2.5719984038e+01,-2.5333165960e+01,5.7054011454e-02,5.8033202218e-01
0.0000000000e+00,-2.5744813194e+01,-2.4588802878e+01,-2.6108657580e+01,-2.5229068855e+01,1.1074980899e+00,1.8824498541e+00
0.0000000000e+00,-2.3916959735e+01,-2.3217422939e+01,-2.3949865165e+01,-2.3474363719e+01,6.8583857209e-02,6.6449964797e-01
0.0000000000e+00,-2.5470979482e+01,-2.4080064034e+01,-2.5866955476e+01,-2.4856767449e+01,1.2425737736e+00,2.2688816288e+00
0.0000000000e+00,-2.3311657485e+01,-2.2241081935e+01,-2.3370034106e+01,-2.2593757789e+01,1.2359833779e-01,9.7174498466e-01
0.0000000000e+00,-2.5419399665e+01,-2.3978896025e+01,-2.5885618684e+01,-2.4834396392e+01,1.3551132809e+00,2.4110108119e+00
0.0000000000e+00,-2.3326368563e+01,-2.2479261130e+01,-2.3654925186e+01,-2.3007865910e+01,1.0134125647e+00,1.5581730735e+00
0.0000000000e+00,-2.5917031991e+01,-2.4943672742e+01,-2.6133695538e+01,-2.5478528980e+01,6.4076252788e-01,1.4316576011e+00
0.0000000000e+00,-2.4544509676e+01,-2.3092583089e+01,-2.4887633398e+01,-2.3748705617e+01,9.0793031099e-01,1.9219800441e+00
0.0000000000e+00,-2.6679313369e+01,-2.5390414381e+01,-2.6927087739e+01,-2.5957677403e+01,6.8787785175e-01,1.6028851128e+00
0.0000000000e+00,-2.9121133345e+01,-2.7960021621e+01,-2.9680277218e+01,-2.8748859363e+01,1.7763556161e+00,2.3428882352e+00
0.0000000000e+00,-2.6802578969e+01,-2.5611361797e+01,-2.7152094270e+01,-2.6267798782e+01,1.0610481230e+00,1.9000763775e+00
0.0000000000e+00,-2.3767154308e+01,-2.2329907160e+01,-2.3979444423e+01,-2.2906417003e+01,6.2029780806e-01,1.6374383745e+00
0.0000000000e+00,-2.8030225462e+01,-2.6334160832e+01,-2.8216907424e+01,-2.7061307198e+01,4.2894886325e-01,1.8281168616e+00
0.0000000000e+00,-2.2976957944e+01,-2.2087845129e+01,-2.3347811297e+01,-2.2635423739e+01,1.1668314833e+00,1.6477692515e+00
0.0000000000e+00,-2.6379996506e+01,-2.5126094708e+01,-2.6797709125e+01,-2.5906771620e+01,1.2746038183e+00,2.1913081919e+00
0.0000000000e+00,-2.3864725618e+01,-2.3164567681e+01,-2.4211767684e+01,-2.3687094503e+01,1.0965579585e+00,1.5432838899e+00
0.0000000000e+00,-2.4998364077e+01,-2.4271061740e+01,-2.5349371868e+01,-2.4853682507e+01,1.0818365804e+00,1.6231985909e+00
0.0000000000e+00,-2.8259025265e+01,-2.6033053488e+01,-2.8826988157e+01,-2.7036963584e+01,1.6203877384e+00,2.9679107926e+00
0.0000000000e+00,-2.6237695303e+01,-2.5027485518e+01,-2.6295161873e+01,-2.5431619746e+01,1.2032443170e-01,1.0781486220e+00
0.0000000000e+00,-2.5844043590e+01,-2.4063247329e+01,-2.5930280978e+01,-2.4724848605e+01,1.7771582105e-01,1.6799045684e+00
0.0000000000e+00,-2.5778596718e+01,-2.4006160275e+01,-2.5916814392e+01,-2.4546093060e+01,3.0334625100e-01,1.5468306198e+00
0.0000000000e+00,-2.7129350802e+01,-2.5766005042e+01,-2.7257321949e+01,-2.6226938675e+01,2.6884559037e-01,1.2629152693e+00
0.0000000000e+00,-2.6898350202e+01,-2.5350186122e+01,-2.7203583717e+01,-2.6012570436e+01,8.6295704074e-01,1.9251197461e+00
0.0000000000e+00,-2.4633593257e+01,-2.3753147283e+01,-2.4984233636e+01,-2.4302923647e+01,1.1575971050e+00,1.6576057475e+00
0.0000000000e+00,-2.1451966264e+01,-2.0923457427e+01,-2.1510804215e+01,-2.1150785300e+01,1.2783898816e-01,5.7739511793e-01
0.0000000000e+00,-2.3475824814e+01,-2.2455114166e+01,-2.3533290491e+01,-2.2796117003e+01,1.2011163558e-01,9.3399045834e-01
0.0000000000e+00,-2.5485403826e+01,-2.4677492247e+01,-2.5545916981e+01,-2.4989607294e+01,1.2614762851e-01,7.7813061675e-01
0.0000000000e+00,-2.4458868591e+01,-2.3133579630e+01,-2.4720839262e+01,-2.3691256766e+01,7.2914730252e-01,1.5903772811e+00
0.0000000000e+00,-2.8543404731e+01,-2.6753716494e+01,-2.8855769089e+01,-2.7664167130e+01,8.8913886877e-01,2.3484879203e+00
0.0000000000e+00,-2.5037184092e+01,-2.3580259919e+01,-2.5417785861e+01,-2.4405290901e+01,1.1740213366e+00,2.3170132958e+00
0.0000000000e+00,-2.1548515657e+01,-2.0835951312e+01,-2.1591958365e+01,-2.1084985455e+01,9.0053089599e-02,6.4954673212e-01
0.0000000000e+00,-2.5987448843e+01,-2.4061854852e+01,-2.6127359116e+01,-2.4722559510e+01,3.1219369132e-01,1.7924059525e+00
0.0000000000e+00,-2.4881450422e+01,-2.3741510434e+01,-2.4940728008e+01,-2.4093889812e+01,1.3465709931e-01,9.8805538954e-01
0.0000000000e+00,-2.4285641070e+01,-2.2432229465e+01,-2.4406477677e+01,-2.2999993125e+01,2.5450811016e-01,1.6167446749e+00
0.0000000000e+00,-2.4366392195e+01,-2.3162685278e+01,-2.4947390417e+01,-2.4046148516e+01,1.7678328075e+00,2.6160115057e+00
0.0000000000e+00,-2.6467619747e+01,-2.3933358470e+01,-2.6775111241e+01,-2.4937656660e+01,7.8950343283e-01,2.7719646298e+00
0.0000000000e+00,-2.4408563657e+01,-2.2404830936e+01,-2.4577567102e+01,-2.3086798397e+01,3.7976137489e-01,1.8979102613e+00
0.0000000000e+00,-2.7078099132e+01,-2.5471586962e+01,-2.7437348863e+01,-2.6263620866e+01,1.0771351778e+00,2.1961478525e+00
0.0000000000e+00,-2.5313585006e+01,-2.3370918776e+01,-2.5879187963e+01,-2.4509517443e+01,1.6546587866e+00,3.1339973709e+00
0.0000000000e+00,-2.8820765272e+01,-2.4893725202e+01,-2.9527330586e+01,-2.6446370181e+01,1.8053523196e+00,4.8648065701e+00
0.0000000000e+00,-2.2607442637e+01,-2.1967198000e+01,-2.2638379251e+01,-2.2223165486e+01,6.2788090801e-02,6.2936307947e-01
0.0000000000e+00,-2.3528707460e+01,-2.1497160560e+01,-2.3788408266e+01,-2.2120115119e+01,5.8300569780e-01,1.8649839794e+00
0.0000000000e+00,-2.4008197216e+01,-2.2817206544e+01,-2.4073234701e+01,-2.3280230005e+01,1.3584601385e-01,1.1476992185e+00
0.0000000000e+00,-2.5382401529e+01,-2.3637338038e+01,-2.5695332721e+01,-2.4451854856e+01,8.3548003218e-01,2.1918372623e+00
0.0000000000e+00,-2.6255611376e+01,-2.5027154701e+01,-2.6320923391e+01,-2.5465766269e+01,1.3743808912e-01,1.1232082133e+00
0.0000000000e+00,-2.2326336470e+01,-2.1505221125e+01,-2.2546859713e+01,-2.1915266238e+01,6.4415838225e-01,1.1929667103e+00
0.0000000000e+00,-2.7374363317e+01,-2.6527218264e+01,-2.7760520118e+01,-2.7096468543e+01,1.1512621549e+00,1.6802356644e+00
1.0000000000e+00,-1.4733492584e+01,-1.4316077349e+01,-1.5073403790e+01,-1.4732517696e+01,1.0736375379e+00,1.2704949004e+00
1.0000000000e+00,-1.7771927167e+01,-1.7056197343e+01,-1.8184095906e+01,-1.7681219482e+01,1.2423181724e+00,1.7838673041e+00
1.0000000000e+00,-1.5755695964e+01,-1.4737328294e+01,-1.5912149237e+01,-1.5102698497e+01,3.7816634744e-01,1.0563828609e+00
1.0000000000e+00,-2.2023613170e+01,-2.1280944782e+01,-2.2302489415e+01,-2.1685391828e+01,7.8499399539e-01,1.1843060246e+00
1.0000000000e+00,-1.6075442367e+01,-1.5251267308e+01,-1.6183900041e+01,-1.5568961783e+01,2.3755680721e-01,8.8701567099e-01
1.0000000000e+00,-1.6160378902e+01,-1.5453381632e+01,-1.6701596175e+01,-1.6151267969e+01,1.6076366037e+00,2.0335388006e+00
1.0000000000e+00,-1.5907277258e+01,-1.5429121873e+01,-1.5946396251e+01,-1.5591203227e+01,8.3583788480e-02,4.4189097515e-01
