model_number,marginal_log_mean,conditional_log_mean,marginal_mean_ll,conditional_mean_ll,marginal_var_ll,conditional_var_ll
0.0000000000e+00,-2.2558388073e+01,-2.2116915833e+01,-2.3054800981e+01,-2.2731182485e+01,1.5872947994e+00,1.9027468408e+00
0.0000000000e+00,-2.5484116112e+01,-2.5193240982e+01,-2.6120725098e+01,-2.5908738435e+01,1.8391474246e+00,2.0452945028e+00
0.0000000000e+00,-2.6264290139e+01,-2.5661193665e+01,-2.6501523377e+01,-2.6034624009e+01,5.5019061069e-01,9.7151473618e-01
0.0000000000e+00,-3.0526130144e+01,-3.0020796630e+01,-3.0810340012e+01,-3.0428217316e+01,7.6174216960e-01,1.1497277551e+00
0.0000000000e+00,-2.3660184217e+01,-2.3007652321e+01,-2.3752546409e+01,-2.3280382168e+01,1.9943517617e-01,7.2425445279e-01
0.0000000000e+00,-2.3909737680e+01,-2.3576229709e+01,-2.4642580608e+01,-2.4372555075e+01,2.1850411680e+00,2.3596182192e+00
0.0000000000e+00,-2.3598140769e+01,-2.3155675066e+01,-2.3650505533e+01,-2.3335560589e+01,1.1705240815e-01,4.6991599914e-01
0.0000000000e+00,-2.4048748451e+01,-2.3570471536e+01,-2.4732642849e+01,-2.4366743701e+01,2.1396607276e+00,2.4469635239e+00
0.0000000000e+00,-2.2311809260e+01,-2.1694637885e+01,-2.2367850757e+01,-2.1944832383e+01,1.2036225951e-01,6.4317088088e-01
0.0000000000e+00,-2.3972659510e+01,-2.3691435654e+01,-2.4067070848e+01,-2.3873168156e+01,2.1819338380e-01,4.5301669117e-01
0.0000000000e+00,-2.3220729274e+01,-2.2984000043e+01,-2.3245824091e+01,-2.3086677470e+01,5.0746643917e-02,2.5972129092e-01
0.0000000000e+00,-2.7364147854e+01,-2.6489323462e+01,-2.7808512829e+01,-2.7181086408e+01,1.2784606433e+00,2.0165920902e+00
0.0000000000e+00,-2.3623779545e+01,-2.2823754309e+01,-2.3993092181e+01,-2.3415545913e+01,1.1239936913e+00,1.7369755948e+00
0.0000000000e+00,-2.6417476897e+01,-2.5871539658e+01,-2.6465787098e+01,-2.6087830662e+01,1.0537295057e-01,5.6929363816e-01
0.0000000000e+00,-2.9050294847e+01,-2.8584778889e+01,-2.9542207627e+01,-2.9189687041e+01,1.2237645132e+00,1.5752366357e+00
0.0000000000e+00,-2.4078872342e+01,-2.3263972444e+01,-2.4678960166e+01,-2.4068833288e+01,1.8631892598e+00,2.4877020118e+00
0.0000000000e+00,-2.3853222701e+01,-2.3378154656e+01,-2.4391768595e+01,-2.4029433344e+01,1.6378902094e+00,1.9636282051e+00
0.0000000000e+00,-2.6596923258e+01,-2.5528397740e+01,-2.7229886384e+01,-2.6410237293e+01,1.9228661188e+00,2.6690294850e+00
0.0000000000e+00,-2.9121010946e+01,-2.8563959741e+01,-2.9636149537e+01,-2.9216154960e+01,1.4741156030e+00,1.8634935320e+00
0.0000000000e+00,-2.3292749764e+01,-2.2418622432e+01,-2.3411122835e+01,-2.2750272608e+01,2.6138216240e-01,9.2851102216e-01
0.0000000000e+00,-2.8605122837e+01,-2.8268121825e+01,-2.9103569740e+01,-2.8864893502e+01,1.3684252268e+00,1.6360344587e+00
0.0000000000e+00,-2.5984313286e+01,-2.4055913709e+01,-2.6359918803e+01,-2.4924879247e+01,8.4232638591e-01,2.4087698372e+00
0.0000000000e+00,-2.4347551181e+01,-2.3894101046e+01,-2.4844783028e+01,-2.4496237505e+01,1.6320886808e+00,1.9207798034e+00
0.0000000000e+00,-2.5889905601e+01,-2.4451687816e+01,-2.6254806761e+01,-2.5190877018e+01,9.8438835347e-01,2.1190857221e+00
0.0000000000e+00,-2.7173608175e+01,-2.6378171075e+01,-2.7867924071e+01,-2.7301479048e+01,2.2100874440e+00,2.7996727208e+00
0.0000000000e+00,-2.4868426880e+01,-2.4424018092e+01,-2.5072985991e+01,-2.4734322974e+01,6.3985871806e-01,9.2565196166e-01
0.0000000000e+00,-2.6683494200e+01,-2.6112875777e+01,-2.6950720248e+01,-2.6520982291e+01,7.5472012234e-01,1.1589813369e+00
0.0000000000e+00,-2.8415547355e+01,-2.6562141099e+01,-2.8856294544e+01,-2.7502130804e+01,1.1484654411e+00,2.6849530383e+00
0.0000000000e+00,-2.3565815925e+01,-2.3031593831e+01,-2.4088781859e+01,-2.3698527973e+01,1.6680011904e+00,2.0350315267e+00
0.0000000000e+00,-2.9478051384e+01,-2.9077824221e+01,-2.9717678285e+01,-2.9419420532e+01,5.1836383885e-01,8.2220968607e-01
0.0000000000e+00,-2.8509198336e+01,-2.8175980155e+01,-2.8886544261e+01,-2.8622972496e+01,1.1776590187e+00,1.3683657245e+00
0.0000000000e+00,-2.2994591922e+01,-2.2384067489e+01,-2.3103639036e+01,-2.2655082967e+01,2.4383135685e-01,7.3114323426e-01
0.0000000000e+00,-2.4403789197e+01,-2.3765347075e+01,-2.4761050628e+01,-2.4319321494e+01,1.1386927879e+00,1.6783672785e+00
0.0000000000e+00,-2.3340007898e+01,-2.3067222944e+01,-2.3803734187e+01,-2.3591342824e+01,1.3914455701e+00,1.5531725360e+00
0.0000000000e+00,-2.9493609267e+01,-2.8520200661e+01,-3.0101189129e+01,-2.9337198295e+01,1.6202868678e+00,2.3407396793e+00
0.0000000000e+00,-2.8396821110e+01,-2.6400654625e+01,-2.8529159266e+01,-2.7093806551e+01,2.8219669004e-01,1.9206183342e+00
0.0000000000e+00,-2.8908197234e+01,-2.8368654521e+01,-2.8975666945e+01,-2.8595953651e+01,1.3930144256e-01,5.8414376181e-01
0.0000000000e+00,-2.4093149464e+01,-2.3817623717e+01,-2.4110151667e+01,-2.3916863347e+01,3.5183362589e-02,2.5700807977e-01
0.0000000000e+00,-2.7872381566e+01,-2.7527655428e+01,-2.8083676057e+01,-2.7829986366e+01,6.2339267611e-01,8.7150526521e-01
0.0000000000e+00,-2.5672779683e+01,-2.5216969495e+01,-2.6336993578e+01,-2.5971450190e+01,2.1112175151e+00,2.3419360422e+00
0.0000000000e+00,-2.6902059399e+01,-2.6522983315e+01,-2.7309932364e+01,-2.7031976768e+01,1.2390620820e+00,1.5353663836e+00
0.0000000000e+00,-2.5144532825e+01,-2.4768642320e+01,-2.5649869703e+01,-2.5365779188e+01,1.6646660829e+00,1.8973220102e+00
0.0000000000e+00,-2.7630817908e+01,-2.7210365082e+01,-2.7878163203e+01,-2.7555787875e+01,7.0554406297e-01,9.9790745935e-01
0.0000000000e+00,-2.7518407153e+01,-2.6925507261e+01,-2.7902618081e+01,-2.7450143023e+01,1.1497346115e+00,1.5549976561e+00
